#Ebola news update -  http://t.co/EhC4eFijAi via @wpbeginner,0.0
"Serious Ebola Outbreak in West Africa, Rumored to be Airborne. #Global http://t.co/ntbe8ILuUR",1.0
RT @lh_singer: Ebola's spread brings panic greater than its health threat #QuickTake http://t.co/pzsSYbqySQ\n\nhttp://t.co/pzsSYbqySQ http://â€¦,1.0
EBOLA. BEWARE. EBOLA VIRUS CAN TAKE OUT AN ENTIRE CITY POPULATION. Ebola breaks out on a scale never seen before http://t.co/7jCaUsoc49,1.0
"What You Really Should Know About The Ebola Virus Disease\nWorld Health Organisation Fact sheet NÂ°103\nUpdated... http://t.co/fcZiqmCT0D\"","",mondrayac""",0.0
RT @BBCWorld: Ebola - a formidable virus. We explain why there's good reason to beware http://t.co/VDw0fW4uda http://t.co/BJ8f0PZAQD,1.0
RT @Salzthebadguyy: ATM like because of Ebola ðŸ˜ª http://t.co/YemJCSHeVE,0.0
#Wondar Air hostesses in planes now wearing safety gloves and overall suit to prevent Ebola (Photo):... http://t.co/yksAqG6izl @411vibes,0.0
"BREAKING NEWS: PHOTOS: EBOLA VIRUS VICTIM DROPS DEAD IN VICTORIA ISLAND, LAGOS http://t.co/KcDJ4ArDGr",0.0
Patrick Sawyer wanted to take the #Ebola virus to Calabar - Hospital Speaks Out | #Nigeria http://t.co/zbnHrQ7ovv #EbolaOutbreak,1.0
"ati hot?RT @vinny_wa: She is suffering from Ebola \@_Josaya : My\n#WCW Cc @Arim_Mitchelle ..Ooh\nmy! She's damn hot http://t.co/iW9WTVfXFL â€â€""",0.0
Health Ministry releases timely information as regards Ebola: The Ministry of Health ha... http://t.co/BLTSAJp7GE #Ø§Ø±ØªØ±ÙŠØ§ #Eritrea,1.0
Health Ministry releases timely information as regards Ebola: The Ministry of Health ha... http://t.co/b340LZuTcp #Ø§Ø±ØªØ±ÙŠØ§ #Eritrea,1.0
RT @JohnFromCranber: Congress Monitoring Border For Ebola http://t.co/J1cjHXsRnC â€¦ CLOSE THE BORDER NOW! #tcot,0.0
American Ebola patient speaks: â€œI am growing stronger everydayâ€ http://t.co/GFKuOjA3IA,1.0
Experimental Ebola drug sparks ethical controversy | http://t.co/zPv5eNE8h5: http://t.co/f2k17jUvQr equal world please,1.0
What You Need to Know About the Ebola Outbreak http://t.co/If0gFKxZJU,0.0
RT @nighealthwatch: #Nigeria calls for volunteers to fight #Ebola virus in #Lagos. http://t.co/cjPT42Tbq5,1.0
RT @TheDoctors: What would happen if #Ebola came to the United States? #TheDoctors breaks it down. http://t.co/8a2jI42VMQ #TheDoctors,0.0
â€œ@vruba: Ebola mapping effort @enf made a map where every line is new since 4 days ago: https://t.co/JINlCZfCZKâ€ @gbvc haha,0.0
"As #Ebola outbreak gathers steam, major filovirus congress starting this weekend in Galveston,TX: http://t.co/3NMIkT3NoP $TKMR on on April 1",0.0
#Newfoundland #CAN #Saint #John?s Â» http://t.co/kdVbqfcQbB # 623 #Ebola #outbreak #in #Guinea: 5 #things #you #should #know #Ebola #vanisanâ€¦,0.0
Guinea: Ebola Spreads to Capital - StayTunedAfrica http://t.co/s85naXvf5L,1.0
Guinea confirms Ebola as source of epidemic http://t.co/cAF06qDook via @sharethis,0.0
Guinea confirms Ebola as source of epidemic http://t.co/BxT23BylBT via @sharethis,0.0
BBC News - Ebola: Guinea outbreak reaches capital Conakry http://t.co/bulFYZq5ZB,1.0
RT @firstpostin: Guinea seeks to stem spread of deadly Ebola virus in capital http://t.co/nmNd3ZIH5i,1.0
RT @firstpostin: Guinea seeks to stem spread of deadly Ebola virus in capital http://t.co/nmNd3ZIH5i,1.0
"#health Deadly Ebola now Ã¢â‚¬Ëœa regional threatÃ¢â‚¬â„¢, as virus spreads to Guinea capital Ã¢â‚¬â€œ RT http://t.co/aF7Qz52LUz #care #virusnext",1.0
"#health Deadly Ebola now Ã¢â‚¬Ëœa regional threatÃ¢â‚¬â„¢, as virus spreads to Guinea capital Ã¢â‚¬â€œ RT http://t.co/mtuTFNS2I1 #care #virusnext",1.0
"#health Deadly Ebola now Ã¢â‚¬Ëœa regional threatÃ¢â‚¬â„¢, as virus spreads to Guinea capital Ã¢â‚¬â€œ RT http://t.co/WLt25N6BaZ #care #virusnext",1.0
"#health Deadly Ebola now Ã¢â‚¬Ëœa regional threatÃ¢â‚¬â„¢, as virus spreads to Guinea capital Ã¢â‚¬â€œ RT http://t.co/c3DSZRzKIM #care #virusnext",1.0
Health officials in the West African nation of Guinea say theyâ€™re now treating eight cases of Ebola in the cap... http://t.co/HzXJjJcErr,1.0
New post: ECOWAS Ministers Call For Regional Response to Deadly Ebola Outbreak http://t.co/96ftwJMRA0,1.0
Programmes: Ebola: How far away is a cure? http://t.co/8rVvh2s6n4,1.0
RT @WHO: #Ebola is transmitted to people from wild animals; then spreads to human person to person http://t.co/dIlS5PfnIA #AskEbola,1.0
RT @WHO: #Ebola virus causes Ebola virus disease - formerly known as Ebola haemorrhagic fever - in humans http://t.co/dIlS5PfnIA #AskEbola,1.0
RT @WHO: People are infectious as long as their blood and secretions contain the #Ebola virus http://t.co/dIlS5PfnIA #AskEbola,1.0
RT @willoxh: West #Africa â€“ #Ebola outbreak â€“ Situation update as of 28 March 2014 http://t.co/g8b5I6nwH6,0.0
the basic reproductive number (r0) #Ebola is below 2. http://t.co/yjh76KLJLW,1.0
This is by far the worst news of the day: Ebola: Guinea outbreak reaches capital Conakry http://t.co/VdSUVR5P8m,1.0
UPDATE 1-Guinea seeks to stem spread of deadly Ebola virus in capital http://t.co/iKjM2Zsh9k #Health (via @IBNMoney_com),1.0
UPDATED: #WHO fact sheet on #Ebola http://t.co/nvEV1SStfs (as of March 2014) #AskEbola /via @WHO,1.0
VIDEO: Guinea on Ebola alert http://t.co/fkhE6WhpyD,1.0
Video: Inside Story - #Ebola: How far away is a cure? http://t.co/4tR3iUbX35\n#Africa #Guinea #Liberia #SierraLeone #AlJazeera,1.0
West #Africa â€“ #Ebola outbreak â€“ Situation update as of 28 March 2014 http://t.co/g8b5I6nwH6,0.0
West #Africa â€“ #Ebola outbreak â€“ Situation update as of 28 March 2014 http://t.co/IGkp5PiMGN,0.0
What is Ebola? http://t.co/pMMc0U92rE,1.0
What is Ebola? http://t.co/pMMc0U92rE http://t.co/GdbLl5zMyP,1.0
